product_id,name,,about,,designer_id,,
1,Awesome Kid Yellow Banner,,"Wood banner, painted with Resene Galliano, and cut into a banner shape and engraved. Inspirational and gorgeous home decor item. Approx 13 x 18cm diameter. Twine for hanging.",,1,,Reformated row data
2,Be Bold Banner,,"Wood banner, painted, cut and engraved into a flag shape and engraved.Inspirational and quirky home decor item. Approx 17 x 14 cm. Twine for hanging.",,1,,Changed to title case
3,It gets better with Coffee Banner,,"Wood banner, painted with Resene Jaguar, and cut into a banner shape and engraved.Inspirational and gorgeous home decor item. Approx 13 x 19 cm diameter. Twine for hanging",,1,,Adjusted spelling
4,Day Mountain Pendant,,Pendants are perfect for dress or casual. Add a splash of colour to a black outfit. Comes in 2 sizes. Hand-painted. Adjustable length chain to suit any neckline. 30 x 30 mm wooden oval face. Hand-painted. Hand-made. Reminiscent of New Zealand's Mountain Ranges during the day (also see the night mountain pendant) Aqua colour as per pic.Bronze backing. Nickel and Lead Free Chain. 80cm fully adjustable chain. Comes packaged in a Kraft gift box.,,1,,Changed to lowercase
5,NZ Natural Pendant,,30 x 40 mm oval face. Hand-painted. Hand-made. NZ design. Natural Rimu Wood. Bronze backing. Nickel and Lead free. 80cm fully adjustable chain.,,1,,Moved data to another cell
6,Rimu Stag Ring,,25mm diameter. Hand-painted wood face. RIMU. Stag Design. Fully adjustable ring (will go Ser or Lr). Nickel-free Stainless Steel Bronze Coated.,,1,,
7,Tiny Red Mountain Studs,,"Tiny, neat and charming.5mm diameter each earring approx. Rimu wood engraved with mountain design. Hand-painted in red. Surgical stainless steel backs. Gorgeous subtle little earrings for everyday wear.",,1,,
8,Yellow Hanging diamonds,,"Beautiful hanging hand-painted wood diamond shaped earrings. Perfect for casual or dress up for a night out. Approx 25mm long, 10mm wide. Wood engraved and hand-painted in yellow. Rimu wood. Nickel-free for sensitive ears.",,1,,
9,Aqua Bird Ring,,20 x 27 mm. Hand-painted wood face. Aqua colour. Bird Design. Fully adjustable ring (will go Ser or Lr). Nickel-free Stainless Steel Bronze Coated.,,1,,
10,Paralympics NZ Athletic Black Unisex Zip Hood,,Paralympics New Zealand have launched their official Mr Vintage supporters range for the Rio 2016 Paralympic Games.,,2,,
11,NZ Olympic Team Goldie Men's Black Singlet,,"This is the official supporters range for the New Zealand Olympic Team to the 2016 Rio Olympic Games. Brought to you by Mr Vintage, the New Zealand Olympic Committee’s supporters range is the best way to take your support for New Zealand’s 2016 Olympic Team to the next level.",,2,,
12,Paralympics NZ Athletic Black Men's Singlet,,Paralympics New Zealand have launched their official Mr Vintage supporters range for the Rio 2016 Paralympic Games.,,2,,
13,Bugger Mens Black T-Shirt,,"Our men's tees are 180 GSM, 100% super soft combed cotton, pre-shrunk to minimise shrinkage, lightweight and side-seamed for that tailored cut. Designed specifically for the NZ body shape, we know you'll love the fit and feel of the tees as much as what's printed on them.",,2,,
14,Burger Queen Womens Peach T-Shirt,,"Our women’s tees are 100% cotton and pre-shrunk to minimise shrinkage, tailored to fit your NZ body. You also now have no reason to say you’ve got “nothing to wear”. This is what you’ll wear",,2,,
15,Tui Love Unisex Graphite Hood,,"Our UNISEX heavyweight hoods are composed of 350 GSM (Nice and warm); 80% Cotton and 20% Polyester. They’ve got a shoe-string cord, a kangaroo pouch for your hands (and lint), a cotton lined hood to look gangsta (if you’re that way inclined), and are made of anti-pill fabric (that’s the good stuff).",,2,,
16,EP: Sugar Skull Women's Scoop,,"Originally painted on a skateboard, this design symbolises the colour and finality of life. My love of Mexican artwork has taught me that skulls are not deathly images to be afraid off. Brightly coloured sugar skulls are used to celebrate the lives of loved ones during Día de Muertos (the Day of the Dead festival), they teach us to live and love life. Erika Pearce is an up and coming Auckland artist and designer with a flair for colour and life. Upon leaving her comfy salary-paying graphic design job in August 2012, she has ventured out on her own and has never looked back. Her artwork ranges from tattoo inspired designs to surf and skate art and highly detailed portraits. She is known for her versatility and is in high demand for custom artwork from collectors locally and all over the world. She loves creating things by hand, acrylic paint is her favourite M. Every piece she creates tells a story.",,2,,
17,Wooden Sunnies,,"These unisex, trendy and fun to wear sunglasses are made with wooden arms. Light but sturdy, they come with a microfibre sock case that doubles as a cleaning cloth.   Produced by a New Zealand designer these affordable sunglasses are one of our best sellers for all ages!!",,3,,
18,Paddle,,"For the guys and gals who just want to paddle along and enjoy life. Beautifully finished and sporting our attractive Beech Palm Grip, this rugged paddle satisfies the needs of strong paddlers from fishermen to white water rafters. Made in New Zealand.",,3,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
